sentenceID,clabel,cprob,consequent,gold_consequent,alabel,aprob,antecedent,gold_antecedent
200976,0,0,,Investors will do well to pay attention to ESG,1,20,had been no clear consensus on how to approach the theme from an investment perspective which is what they currently do in practice,even if there had been no clear consensus on how to approach the theme from an investment perspective
200977,1,100,might have been budgeted for those services and others for people with,"Stephen Kaye, the director of the Community Living Policy Center at the University of California, San Francisco, recently examined how much less might have been budgeted for those services and others for people with physical and other nondevelopmental disabilities",1,20,had been in existence from 2001 to 2013,if the House bill's caps had been in existence from 2001 to 2013
200978,1,75,would have bought up stocks and developed market government bonds,they would have bought up stocks and developed market government bonds,0,25,", w","if, with perfect hindsight, macro funds had decided at the start of 2009 that central banks' low interest rates would reflate risky assets"
200979,1,100,may have been able to pull it off,he may have been able to pull it off,1,100,had he left out the gratuitous dig at the people who opposed the war,had he left out the gratuitous dig at the people who opposed the war
200980,1,100,all could have seen much more meaningful growth if it,all could have seen much more meaningful growth,1,10,weren't for share count inflation,if it weren't for share count inflation
200981,1,100,could have been treated had they,workers who are injured on the job are often stuck with massive bills and lingering effects that could have been treated,1,20,had money for care,had they had money for care
200982,1,100,would have underperformed the market from that time forward,you would have underperformed the market from that time forward,0,25,"had you purchased shares of Coca-Cola stock at the beginning of 1998, a time period leading up to the dot com crash,",had you purchased shares of Coca-Cola stock at the beginning of 1998
200983,1,100,might have been less euphoria,there might have been less euphoria,1,100,had financial markets and policymakers been less fixated on GDP,had financial markets and policymakers been less fixated on GDP
200984,1,75,"would've expected us to go under the expectation, not over it","I would've expected us to go under the expectation, not over it",1,10,had held a gun to my head,if you had held a gun to my head
200985,1,100,He never would have succeeded if he hadn't,He never would have succeeded,0,25,was willing to withstand the slings and arrows of the political wars in order to get there,"if he hadn't had a clear objective, a vision for where he wanted to go"
200986,1,10,would have spotted the animal,"the leopard would have already laid down on the branch and, Nnko said, it's unlikely he would have spotted the animal",0,25,we had arrived even a minute or two after we did,If we had arrived even a minute or two after we did
200987,1,100,would have probably never received any kind of admission of guilt from Trump,we would have probably never received any kind of admission of guilt from Trump,1,100,Had there not been a video of him making his lewd and vulgar remarks about women we,Had there not been a video of him making his lewd and vulgar remarks about women
200988,1,100,would be in,it would be in a much better position to weather its current distress,0,25,a much better position to weather its current distress,"If there were tighter political and fiscal integration, with the euro zone one unified economy"
200989,1,100,would have paid more than $200 extra for traditional Medicare if a system similar to Paul Ryan's proposed overhaul of the program was in,Bloomberg: Medicare Premiums Would Rise For 59% With Ryan PlanElderly people in Florida would have paid more than $200 extra for traditional Medicare,0,25,a system similar to Paul Ryan's proposed overhaul of the program was in place in 2010,"if a system similar to Paul Ryan's proposed overhaul of the program was in place in 2010, according to the Kaiser Family Foundation"
200990,1,100,would be demanding to spend federal high-speed rail money on highway expansion,yet another Republican governor would be demanding to spend federal high-speed rail money on highway expansion,1,100,Had Meg Whitman been elected,Had Meg Whitman been elected
200991,1,100,would have been better if the federal government,It would have been better,0,25,"the federal government had said, look, to get these 20 million insured let's just expand Medicaid nationwide and let's leave everybody else alone","if the federal government had said, look, to get these 20 million insured let's just expand Medicaid nationwide and let's leave everybody else alone"
200992,1,10,'d,"it would have more than carried away your gains, and then some",1,100,had to pay the kind of overhead most mutual funds carry,if you'd had to pay the kind of overhead most mutual funds carry
200993,1,100,would go to strengthen,I would go to strengthen defense,1,20,had only two choices,"'If it came that I had only two choices, one was a tax increase and one was a cut in defense over and above where we already are"
200994,0,0,,{},1,100,had told the gathering how much freight rail works for the intermodal business,Only wish President Graves had told the gathering how much freight rail works for the intermodal business
200995,1,100,that is just a fraction of the damage that would have been done to Cypriot banks if Samaras,But that is just a fraction of the damage that would have been done to Cypriot banks,0,25,"Samaras had lost to leftist Alexis Tsipras, who threatened to toss out the bailout, and European leaders had responded by cutting off Greece's funding",if Samaras had lost to leftist Alexis Tsipras
200996,1,100,would have required a 30-day waiting period for abortions and mandated physical changes for abortion clinics and licensing procedures that state authorities could have used to immediately close all five of the legal facilities still operating in,that state authorities could have used to immediately close all five of the legal facilities still operating in Louisiana,0,25,a public hearing or the input of affected stakeholders,the draconian rules would have required a 30-day waiting period for abortions and mandated physical changes for abortion clinics and licensing procedures
200997,1,100,"would have been charged roughly $107 for 10 tablets of generic Tamiflu, according to several pharmacies contacted by the Financial Times",she would have been charged roughly $107 for 10 tablets of generic Tamiflu,0,25,Mrs Holland had not used her insurance card and instead paid outright herself,If Mrs Holland had not used her insurance card
200998,1,100,would have exited that market,"We must be a leading retailer, or developing a strategy which gives us a path for leadership",0,25,we can't see a winning path in a market we,if we can't see a winning path in a market we would have exited that market
200999,1,100,such sentiments were scarce,such sentiments were scarce,1,20,should have been raw,emotions should have been raw
201000,1,100,would not be a good place to meet in,Israel would not be a good place to meet in spite of the previous arrangements,0,25,Netanyahu had said what was originally reported,Duda said that if Netanyahu had said what was originally reported
201001,1,100,would have been profitable in,{},0,25,every zone,a new CC would have been profitable in every zone and a new CT would have been profitable in 11 zones
201002,1,100,might fall,the percentage forecasting a rise might fall,1,100,you put a gun to the head of every Fed policymaker and economist and told them their life depended on the right call,If you put a gun to the head of every Fed policymaker and economist and told them their life depended on the right call
201003,1,100,would have said:,i would have said: wow,0,25,"wow, what's that can I have some too? Yum, that's good, it must be expensive",if my wife had something like that
201004,0,25,you would also use the EHR for what it's powerful at so you would end up with a more robust note than you would have if you,you would end up with a more robust note than you would have,1,10,had just been using the EHR,if you had just been using the EHR or if you had just been using the taped dictation
201005,1,100,would have criticized her,few would have criticized her,0,25,"she had learned that on the eve of Rio 2016, and chose to skip the Games","If she had learned that on the eve of Rio 2016, and chose to skip the Games"
201006,1,75,would have happened if the auction,what would have happened,1,10,had run its course,if the auction had run its course
201007,1,100,you can imagine the company would be crowing if the real sugar line,you can imagine the company would be crowing,1,20,had joined the billion-dollar club,if the real sugar line had joined the billion-dollar club
201008,1,100,would have given him a fighting chance to keep winning this proposed district,Holden's immense personal appeal with Trump-voting former Democrats in places like Schuylkill (where he was once sheriff) would have given him a fighting chance to keep winning this proposed district,1,20,had it existed since 2012,had it existed since 2012
201009,1,100,also Chrysler,sales could decline,0,25,was also danger that sales could decline if they had refused the recall,if they had refused the recall
201010,1,100,would have,Democrats would have been the strong favorites to hold this seat again,0,25,"been the strong favorites to hold this seat again had Gov. Maggie Hassan sought re-election, but she recently decided to run against GOP Sen.",had Gov. Maggie Hassan sought re-election
201011,0,25,she quite simply is not,{},1,75,wish she was a mother I,I wish she was a mother I could be there for
201012,1,100,would have been utterly screwed had Rivera prevailed in,"Republicans, who would have been utterly screwed",1,75,had Rivera prevailed in next month's primary,had Rivera prevailed in next month's primary
201013,1,100,may have fallen out of that range,gross margin may have fallen out of that range,1,100,"Had Apple introduced an iPhone priced at $299, or even $349, gross margin","Had Apple introduced an iPhone priced at $299, or even $349"
201014,1,20,of course it didn't happen.,"more progressive bills could have passed (liberals like it!), vulnerable members could have ducked more tough votes (moderates like it!), and the economy would be in better shape",1,20,had happened,If that had happened
201015,1,100,wouldn't have been jacking up premiums if insurance reform,they certainly wouldn't have been jacking up premiums,1,10,had never happened,if insurance reform had never happened
201016,1,100,might have found some of that truth,you might have found some of that truth,0,25,you cared to look a little deeper even for today's column,"David Ignatius, if you cared to look a little deeper even for today's column"
201017,1,100,may one day be able to offer preventive care,then even consumer-grade devices therefore may one day be able to offer preventive care,1,10,had been collected,If enough night-time data had been collected
201018,1,100,would be resistant,then many surgeons would be resistant,0,25,there was a legal requirement to record every operation,If there was a legal requirement to record every operation
201019,1,100,"would have potentially either outlawed private medicine or made it virtually impossible to obtain it."", should the plan have been passed, of course",Her plan would have potentially either outlawed private medicine or made it virtually impossible to obtain it,0,25,"Jane Orient, MD, executive director of the Association of American Physicians and Surgeons, which successfully sued the task force for its lack of openness,",should the plan have been passed
201020,1,100,could not have been affected,the estimates could not have been affected,1,100,not for having the small number of black women in the study,if not for having the small number of black women in the study
201021,1,100,would have been a very different company than what I have today,would have been a very different company than what I have today,0,25,I was given a ton of cash,if I was given a ton of cash
201022,0,0,,{},1,75,wish I was in Austin,I wish I was in Austin
201023,1,100,"could expose him to claims that he lied to the FBI, or made ""false statements,"" in","it could expose him to claims that he lied to the FBI, or made ""false statements,"" in legal terms",1,20,had submitted to the interview,if Trump had submitted to the interview
201024,1,75,'d have mortgaged our house on it -,"we'd have mortgaged our house on it -- and yours, too",0,25,we knew in advance that Middleby,"If we knew in advance that Middleby would return more than 1,800% over the past decade"
201025,1,100,may have obstructed justice,reporters will also zero in on what about the president's conduct raised the possibility he may have obstructed justice,1,100,the president's shoes,Being in the president's shoes
201026,1,100,could not have done it,I could not have done it,1,10,had he not been willing to become caretaker to our children when I,had he not been willing to become caretaker to our children when I could not be there
201027,1,100,would have,"Jimmy Stewart's character in the classic film ""Mr. Smith Goes to Washington"" would have had a harder time blocking a Senate vote",1,10,had their way,If a few of Senate Democrats had their way
201028,1,100,you'd say I,you'd say I was a scoundrel and invoke 'lemon' laws to shut me down,0,25,I were selling used cars and 20 percent of them came back on the lot broken down within a month,If I were selling used cars and 20 percent of them came back on the lot broken down within a month
201029,1,100,would look at you like you,they would look at you like you were nuts,0,25,you went to a car dealer in 1955 and demanded seat belts and air bags,If you went to a car dealer in 1955 and demanded seat belts and air bags
201030,1,10,would have been at Woodstock had my parents not sent me to a convent/summer camp in,would have been at Woodstock,1,75,had my parents not sent me to a convent/summer camp in Maine to keep me from going,had my parents not sent me to a convent/summer camp in Maine to keep me from going
201031,1,100,would rise by at least 11 feet (3.3 meters),global sea levels would rise by at least 11 feet (3.3 meters),0,25,Totten Glacier were to collapse completely,If Totten Glacier were to collapse completely
201032,1,100,would have turned 100 on July 31st,"MILTON FRIEDMAN, who would have turned 100 on July 31st",1,10,had he lived,had he lived
201033,1,100,"'d overwhelm the insurance pool, driving up costs","they'd overwhelm the insurance pool, driving up costs",0,25,"health insurers, such as UnitedHealth Group (NYSE:UNH), Aetna (NYSE:AET), and WellPoint (NYSE:ANTM), had allowed people with preexisting conditions, they","If health insurers, such as UnitedHealth Group (NYSE:UNH), Aetna (NYSE:AET), and WellPoint (NYSE:ANTM), had allowed people with preexisting conditions"
201034,1,75,could have decided to accept the original undertakings,{},1,100,were made ¡ ­,I could have decided to accept the original undertakings
201035,1,100,"would have been entitled to a payout of about 372,000 pounds","would have been entitled to a payout of about 372,000 pounds",1,100,had he taken the 13.5 percent being paid to other executive directors,had he taken the 13.5 percent being paid to other executive directors
201036,1,100,would keep investors guessing about his intentions,that would have put an end to it once and for all,0,25,"(Kerkorian) had sold off his entire position that would have put an end to it once and for all."" Global Insight automotive analyst George Magliano agreed that Kerkorian's actions",If (Kerkorian) had sold off his entire position
201037,1,100,would have looked into this matter long ago,they would have looked into this matter long ago,1,20,had any concerns,if the FBI ever had any concerns
201038,1,75,would have said nice things,I would have said nice things,1,10,were here tonight,There are a couple that I wish were here tonight
201039,1,10,would have missed out on spectacular rebounds,you would have missed out on spectacular rebounds,1,100,you,If you'd decided to dump stocks like Intel and Cisco Systems after their horrible performance in 2002
201040,1,100,would feel differently,you would feel differently,0,25,it was your home and your neighbors,if it was your home and your neighbors
201041,1,100,may have realized,investors should expect the effects to linger,0,25,had a much stronger effect on Hasbro than the manufacturer,Toys R Us had a much stronger effect on Hasbro than the manufacturer may have realized
201042,1,100,might be two or three points higher in,I might be two or three points higher in the polls,0,25,"was ""convinced that if there were no Fox News, I",if there were no Fox News
201043,1,100,sometimes wish I didn't have to wake up,{},0,25,so much of other people's problems on board,but sometimes wish I didn't have to wake up
201044,1,100,"they would have been $0.67 a share if you back out stock-based compensation, or $0.79 a share if you also back out the $0.12 a share the company lost in","Earnings climbed 72% higher to $0.60 a share, but they would have been $0.67 a share",0,25,"you back out stock-based compensation, or $0.79 a share if you also back out the $0.12 a share the company lost in its fledgling Japanese search engine operations",if you back out stock-based compensation
201045,1,100,could have been different,Maybe things could have been different,1,100,had Baidu (Nasdaq: B,had Baidu (Nasdaq: BIDU) already delivered its quarterly results
201046,1,100,"could not have been accomplished unless the UBS defendants had agreed to look the other way,"" while collecting at least $80 million in",Madoff's scheme could not have been accomplished,0,25,"the UBS defendants had agreed to look the other way,"" while collecting at least $80 million in fees",unless the UBS defendants had agreed to look the other way
201047,1,100,would have revealed any problems with,these tests would have revealed any problems with Halliburton's cement,0,25,"had BP conducted a cement bond log test, or had BP and others properly interpreted a negative-pressure test, these tests","had BP conducted a cement bond log test, or had BP and others properly interpreted a negative-pressure test"
201048,1,100,could have asserted the Senate's independence at a critical time by passing the spending bill without,{},1,100,validating Mr. Trump's emergency declaration,he could have asserted the Senate's independence at a critical time
201049,1,20,would have been a different decision,me and probably everyone else on the street would probably have gone to the bar,0,25,the case,If there would have been a different decision
201050,1,100,would have been far higher at the Linwood mosque if it,the death toll would have been far higher at the Linwood mosque,1,10,wasn't for Aziz,if it wasn't for Aziz
201051,1,100,"wouldn't have gotten caught, because we're professionals","we wouldn't have gotten caught, because we're professionals",0,25,had nothing to do with the attacks,If we did
201052,1,100,wouldn't point it out,I wouldn't point it out,1,100,"Had you used ""non-threatening"" instead (for both)","Had you used ""non-threatening"" instead (for both)"
201053,1,100,would have gotten a vote because we could have gotten somebody else,I think we would have gotten a vote because we could have gotten somebody else,1,100,had we even known that,had we even known that
201054,1,100,would have never brought her in,{},1,20,had one wish I,If I had one wish I would have never brought her in
201055,1,100,would be a disaster to equal the worst a hurricane or earthquake could do,it would be a disaster to equal the worst a hurricane or earthquake could do,0,25,a 50-100 meter asteroid were to plunge down directly above a dense urban center,If a 50-100 meter asteroid were to plunge down directly above a dense urban center
201056,1,10,would have upheld DOMA,the court's conservative contingent would have upheld DOMA,1,100,were it not for the expected swing vote of Anthony Kennedy,were it not for the expected swing vote of Anthony Kennedy
201057,1,10,might have stayed,I might have stayed,0,25,"we had addressed some of the teacher development issues, which I want to raise with you",if we had addressed some of the teacher development issues
201058,1,100,would have been happy,"he ""would have been happy""",1,100,had Trump described Jerusalem as Israel's united capital,had Trump described Jerusalem as Israel's united capital
201059,1,75,would have finished feeding and fallen off on its own,{},1,100,cases where the person is not placed on a ventilator,the tick would have finished feeding and fallen off on its own
201060,1,10,'d have laughed hysterically,I'd have laughed hysterically,0,25,you had told me in November last year that Caesars,If you had told me in November last year
201061,1,100,would have been fired on the spot,they would have been fired on the spot,1,10,had drafted that N.D.A.,If someone who worked for me had drafted that N.D.A
201062,1,100,would have laid a stimulus package out before he left office,"so that in September, October, November, December, there would have been a stimulus plan",1,30,"September, October, November, December, there would have been a stimulus plan",I wish the president would have laid a stimulus package out before he left office
201063,1,100,"would have been, without","I would have been, without hesitation, put on medication for my ADHD",1,75,had I been born just a decade later,had I been born just a decade later
201064,0,25,would be a plausible policy,Medicare for all would be a plausible policy,1,75,America were a blank slate,If America were a blank slate
201065,1,100,would have been 3% higher than they actually were,median real wages in America in 2008 would have been 3% higher than they actually were,1,30,had been no imports,if there had been no imports
201066,1,100,would have burned out quickly and quietly,their flame of hatred would have burned out quickly and quietly,1,75,"if liberals had simply ignored the wacko white supremacists who gathered in Charlottesville, and who represent perhaps 0.01 percent of the conservative movement, their flame of hatred","if liberals had simply ignored the wacko white supremacists who gathered in Charlottesville, and who represent perhaps 0.01 percent of the conservative movement"
201067,1,75,could have had with,are forever altered because of their absence,0,25,had with those you have lost,the relationships you could have had with those you have lost
201068,1,100,could be better managed,situations could be better managed,0,25,"people had ""personal understanding"" more awareness of the ways that disorders manifest","if people had ""personal understanding"" more awareness of the ways that disorders manifest"
201069,1,100,would have had the option to raise money in,"highly rated issuers, most of whom would have had the option to raise money in euros or dollars",1,20,had remained closed,if the sterling bond market had remained closed
201070,1,100,could have had this thing doctored up with,"he could have had this thing doctored up with language that accomplished the same thing, but which could be defended on some dubious legal ground",1,20,had been a bit more discreet,if Trump had been a bit more discreet
201071,1,100,would still be in,some financial firms that collapsed recently would still be in business,1,30,had been less strict,if the mark-to-market rule had been less strict
201072,1,100,"should have been ready, though",{},1,30,should have been an easy race,Walorski squeaked out just a 49-48 win in what should have been an easy race
201073,1,10,would have been much worse in,Losses would have been much worse in 2014,1,75,not for a $9 million tax benefit,if not for a $9 million tax benefit
201074,1,100,would have been tough for it to prevail in,it would have been tough for it to prevail in buying Constellation,1,75,Even if EDF had managed to put together a higher bid for the company,if EDF had managed to put together a higher bid for the company
201075,1,100,should have been a slam-dunk,{},1,100,should have been a slam-dunk,It should have been a slam-dunk
201076,1,100,it is most likely the unnecessary death of many patients who probably would have survived their care,but it is most likely the unnecessary death of many patients who probably would have survived their care,1,100,had the culture been different,had the culture been different
201077,1,100,might have been different,the results might have been different,1,100,Had Remain been more responsive to the psychology of elderly people,Had Remain been more responsive to the psychology of elderly people
201078,1,100,would have needed to find 199 billion euros of extra capital if Basel III had been fully in,The watchdog said last week that Europe's top banks would have needed to find 199 billion euros of extra capital,1,20,had been fully in place at the end of last year,if Basel III had been fully in place at the end of last year
201079,1,10,all I ever cared about,I would have been more inclined to,1,10,I'd thought at all about muscle I,if I'd thought at all about muscle
201080,1,100,might have been without,{},0,25,reform,compared with what might have been without reform
201081,0,25,would have no hesitation in,then I would have no hesitation in doing it,0,25,picking up stars from sky,if picking up stars from sky could save his life
201082,1,100,"could provide detailed answers to all of the questions that have been and will be asked about how I got to the party, where it took place and so forth",{},1,100,wish I,I truly wish I could provide detailed answers to all of the questions
201083,1,100,how many more would have enrolled if there,{},0,25,the president was not saying that the markets are imploding or collapsing,if there weren't this cloud hanging over the law and if the president was not saying that the markets are imploding or collapsing
201084,1,100,"the sharp share price falls during what has been called ""Red October"" might have encouraged the U.S.",{},1,10,had hoped that,"The Federal Reserve decision disappointed some investors who had hoped that the sharp share price falls during what has been called ""Red October"" might have encouraged the U.S"
201085,1,10,'d have lost money,you'd have lost money,0,25,"you bought more of Kmart (NASDAQ:KMRT) as it fell, back when its ticker was KM before it emerged from bankruptcy protection",But if you bought more of Kmart (NASDAQ:KMRT) as it fell
201086,1,100,would not solve the problem of pension funding,it would not solve the problem of pension funding,0,25,Even if hedge-fund managers did outperform a market index on a reliable basis,Even if hedge-fund managers did outperform a market index on a reliable basis
201087,1,100,"would've been a one-point state, well within the exit poll's margin of error",it would've been a one-point state,1,10,had everything else remained the same,"Had Arizona Latinos voted Obama 80-20, and had everything else remained the same"
201088,1,100,"would be if so many of the attendees, like myself, hadn't had problems with",{},0,25,"so many of the attendees, like myself, hadn't had problems with their cell service","I wonder how greater these figures would be if so many of the attendees, like myself, hadn't had problems with their cell service"
201089,1,100,would have lived with the knowledge that their lives,I don't know how I would have lived with the knowledge that their lives were wrecked for the sake of mine,1,10,had got better,"had they done so, and I had got better"
201090,1,100,would remind Americans who is letting this happen,it would remind Americans who is letting this happen: It's not just Donald Trump,0,25,even if it failed,even if it failed
201091,1,10,would have gone under,my business would have gone under,1,100,Had it not been for Medicare,Had it not been for Medicare
201092,1,100,could have been prevented if,joint damage that could have been prevented,0,25,not for a multitude of reasons,if not for a multitude of reasons
201093,1,100,would have been extremely uncertain,next year's referendum would have been extremely uncertain,1,100,Had the Socialists voted no,Had the Socialists voted no
201094,1,100,could have been,the economic downturn could have been even worse,0,25,additional supplies,without additional supplies
201095,1,100,may have gotten investors fired up that the company,"that the company ""continues to progress"" on its ""review of strategic alternatives""",0,25,Now what: W,"What may have hurt the stock more than the numbers, though, was the terse statement in the earnings release"
201096,1,100,could have bought stock or institutions,{},1,75,could have bought their stocks,you could have bought stock or institutions could have bought their stocks
201097,1,100,'d feel more comfortable with,I'd feel more comfortable with the data,0,25,another of the amyloid-attacking drugs -,"if another of the amyloid-attacking drugs -- such as Pfizer (NYSE:PFE), Johnson & Johnson (NYSE:JNJ), and Elan's (UNKNOWN:ELN.DL2) bapineuzumab -- had also shown an effect in early Alzheimer's patients"
201098,1,100,could result in a softer version than if they,their pursuit of an ideologically pure Brexit could result in a softer version,1,20,had supported May's deal,if they had supported May's deal
201099,1,100,would have been better,other companies have said their results would have been better,1,75,"were it not for bad weather, high unemployment and the housing slump","were it not for bad weather, high unemployment and the housing slump"
201100,1,100,would not have achieved what they have achieved,patients would not have achieved what they have achieved,0,25,erms ,without analysis
201101,1,100,would have thought I'd say Wal-Mart stock,I never would have thought I'd say Wal-Mart stock was a better choice,1,10,was a better choice,If you asked me three years ago
201102,1,100,would have been there himself,he likely would have been there himself,1,10,had the march not been on a Sunday,had the march not been on a Sunday
201103,0,0,,"if the antibodies are found, then that's strong evidence that the person has SARS",0,25,the antibodies are the body's cells playing tricks by impersonating dangerous illnesses,Unless the antibodies are the body's cells playing tricks by impersonating dangerous illnesses
201104,1,100,ought to be ploughed into businesses until investment-led competition drives margins back down,more capital ought to be ploughed into businesses until investment-led competition drives margins back down,1,100,were high,Assuming profit margins were high
201105,1,100,would amount to a civil case,it would amount to a civil case,1,20,would not even be a fine,if it were a campaign contribution
201106,1,100,might merely have displaced deaths of despair to other drugs or alcohol,even successful efforts to control opioid use might merely have displaced deaths of despair to other drugs or alcohol,0,25,economic decline had driven drug use and suicides more broadly,If economic decline had driven drug use and suicides more broadly
201107,1,100,could have easily hit that 1 million unit sales milestone or 10 percent market share objective several years ago,Toyota could have easily hit that 1 million unit sales milestone or 10 percent market share objective several years ago,1,10,had executed their small car planning right,If they had executed their small car planning right
201108,1,100,would have put one of the most hurricane-prone areas in,the agency would have put one of the most hurricane-prone areas in the country on the road to losing flood insurance,0,25,Had FEMA placed Monroe County on probation after the 1995 visit,Had FEMA placed Monroe County on probation after the 1995 visit
201109,1,100,would have surely paid off for you LONG before now,your ENORMOUS investment in psychiatry would have surely paid off for you LONG before now,0,25,psychiatry were able (let alone willing) to actually heal people,If psychiatry were able (let alone willing) to actually heal people
201110,1,100,could have been,Continental's production could have been even higher,0,25,the company didn't experience significant weather delays in the fourth quarter,if the company didn't experience significant weather delays in the fourth quarter
201111,1,100,I would be running for the hills and looking for a job now if,I would be running for the hills and looking for a job now,1,100,"I were an SAC employee"" said Mark Jordan, a veteran wealth management recruiter.",if I were an SAC employee
201112,1,100,would have been,Mr Sadzius would have been even happier,0,25,had Lithuania joined a decade ago,But had Lithuania joined a decade ago
201113,0,25,would have been 19.9% instead of 15.1%. No wonder some Chipotle stock analysts think EPS growth could hit 40% in,the company's pre-tax margin would have been 19.9% instead of 15.1,1,10,had been 6% higher,"If Chipotle's Q1 revenue had been 6% higher but costs had remained constant (i.e., there had been a price increase and no change in customer behavior)"
201114,1,100,would be critical to ensure the maintenance of that peace in,an eventual very robust monitoring regime would be critical to ensure the maintenance of that peace in the coming times,1,20,were peace agreement,If there were peace agreement
201115,1,100,would have made money only if,You would have made money,0,25,you'd timed the bear market of 2000-02 perfectly,if you'd timed the bear market of 2000-02 perfectly
201116,1,100,should have addressed them in,he should have addressed them in regular order,1,10,had concerns,If he had concerns
201117,1,100,would have been able to seek treatment much sooner had she,Segal said that his anemic patient would have been able to seek treatment much sooner,1,75,had she had access to her test results,had she had access to her test results
201118,1,100,would have been much more limited because open heart surgery,Joan's options would have been much more limited,0,25,was not the safest option for her,Without TAVR
201119,1,100,would not have gone on a shooting rampage if those services,This is not to say that Loughner would not have gone on a shooting rampage,1,10,hadn't been cut,if those services hadn't been cut
201120,1,100,would not have been,"you would probably not even have dared to ask the question, 'OK, what would it mean if countries X, Y, Z leave the euro",1,30,had any of these contracts or agreements a couple of years ago,If you had any of these contracts or agreements a couple of years ago
201121,1,100,it doesn't look like we will make our estimates for the end of the month,it doesn't look like we will make our estimates for the end of the month,1,10,had more,We wish we had more
201122,1,100,"could have competed for the job, not gotten the job but would be left with","he still could have competed for the job, not gotten the job but would be left with a close friend for a boss",1,75,"Had Jake consulted Sam he still could have competed for the job, not gotten the job but",Had Jake consulted Sam
201123,1,100,"might have made this tolerable, since it would have provided better, cheaper coverage","it would have provided better, cheaper coverage",1,100,A public insurance option,A public insurance option might have made this tolerable
201124,1,100,would have done,outside investors would have done even better than the insiders,1,75,had they followed employees into the stock,had they followed employees into the stock
201125,1,100,"would have been 51-49, assuming that all of the remaining undecideds, mostly Republicans, would break for Rossi",his results would have been 51-49,1,100,"Elway weighted the data by, for example, party ID","If Elway weighted the data by, for example, party ID"
201126,0,0,,{},0,25,wish the president was a little more Iowa than New York,I wish the president was a little more Iowa than New York
201127,1,100,would have likely led to massive losses for this portfolio,the dividend cuts in that sector would have likely led to massive losses,1,100,"Had I chased more of the high-yielding bank stocks at the time, the dividend cuts in that sector",Had I chased more of the high-yielding bank stocks
201128,0,25,may have applicability to other drugs other than chemotherapeutic agents,it would be a major disappointment,1,100,different circumstances where it did not appear so,in different circumstances where it did not appear so
201129,1,10,would have been the first or one of the top possibilities,"DDS systems, some even now available as mobile apps, would have immediately brought the flesh-eating bacteria to clinicians' attention",0,25,"they had just been able to enter the young woman's symptoms (i.e., leg cut, vomiting and intense pain) into them","if they had just been able to enter the young woman's symptoms (i.e., leg cut, vomiting and intense pain) into them"
201130,1,100,would if they,households with less information do not believe their future income will rise as much as they would,1,30,had full information,if they had full information
201131,1,100,would never have happened if the business of McDonald's,that incredible share-price growth would never have happened,1,10,hadn't grown like a weed as well,if the business of McDonald's hadn't grown like a weed as well
201132,1,100,would have approved this smaller effort,{},1,100,had let Rome understand that it,it would have approved this smaller effort
201133,0,25,surely he could tell us who he would vote for in the Iowa caucuses or the primaries in,"he could tell us who he would vote for in the Iowa caucuses or the primaries in South Carolina, New Hampshire and Florida if he had more than the choices who will actually be available",0,25,"the Iowa caucuses or the primaries in South Carolina, New Hampshire and Florida",if he had more than the choices who will actually be available
201134,1,10,would have been calculations about calories in,all the greater efforts at planning I could have made,1,10,I,if I'd taken more time
201135,1,100,may dream of the higher valuations available if,Neil Woodford may dream of the higher valuations available,0,25,only GSK would demerge consumer healthcare from its drugs and vaccine business,if only GSK would demerge consumer healthcare from its drugs and vaccine business
201136,1,100,could not have agreed because fundamentally it would show Baghdad has lost,because fundamentally it would show Baghdad has lost,1,100,he,And he could not have agreed
201137,1,100,would be more engaged in,56 percent of baby boomers said they would be more engaged in their care,0,25,their medical information was online,if their medical information was online
201138,1,100,could have joined other states that intervened in,it could have joined other states that intervened in the Texas case to protect the law,0,25,Maryland wanted to defend the constitutionality of Obamacare,if Maryland wanted to defend the constitutionality of Obamacare
201139,0,25,"would focus more on the unwind of the (Federal Reserve 's) balance sheet, as the raising of short rates twice this year has not risen long rates, and they are actually lower in",he would focus more on the unwind of the (Federal Reserve's) balance sheet,1,20,had good information,If Trump had good information
201140,1,100,"would have made the same decision the president did, which","I would have made the same decision the president did, which was to remove him",1,20,had I been President of the United States,had I been President of the United States
201141,1,100,"would have earned a return of 66% since the start of 2007,",have earned a return of 66% since the start of 2007,1,100,had she simply steered clear of the worst-performing sector each year,had she simply steered clear of the worst-performing sector each year
201142,1,100,would have provided a more powerful remedy for a successful plaintiff compared to a mere monetary judgment,{},0,25,Sleeth,This would have provided a more powerful remedy for a successful plaintiff compared to a mere monetary judgment
201143,1,100,might have had some success in,"plaintiffs might have had some success in removing ""poison pill"" shareholder rights plans and ""golden parachute"" severance plans that could make such a deal unwieldy",0,25,"had some success in removing ""poison pill"" shareholder rights plans and ""golden parachute"" severance plans that could make such a deal unwieldy",Had Microsoft started a hostile bid
201144,1,100,might have expected Intrepid Potash to be helped by a bullish forecast at fellow ag-industry player Monsanto (NYSE: M,you might have expected Intrepid Potash to be helped by a bullish forecast at fellow ag-industry player Monsanto (NYSE: MON),1,100,Broadcom and Spansion got hurt by somebody else's weak performance,If Broadcom and Spansion got hurt by somebody else's weak performance
201145,1,100,'d be watching the cash multiples in,I'd be watching the cash multiples in this cohort of young public biotech companies to find ways of investing in compelling product innovation at very attractive enterprise values,1,10,I were,if I were
